site,kind,mutates,guard,handled,note
Assets.Scripts.Objects.Items/FireExtinguisher.cs::OnAtmosphericTick,gated,yes,"CloneGlobalAtmosphere(new WorldGrid(RootParent.Position), 0L) (78)",,"Clones a real cell EVERY tick for every extinguisher in existence, active or not (the clone precedes the Activate check); when active moves canister liquid/gas into it and Extinguish removes energy. Cell churn: each idle extinguisher outdoors keeps a real cell instantiated."
Assets.Scripts.Objects.Items/FireExtinguisher.cs::ShouldEmitParticles,display,no,,,Particle gate: canister pressure vs WorldAtmosphere pressure.
Assets.Scripts.Objects.Items/FireExtinguisher.cs::UseExtinguisher,read,no,,,Reads WorldAtmosphere.PressureGasses to decide activation (NRE if null).
Assets.Scripts.Objects.Items/FuelIngot.cs::Smelt,gated,yes,"if (localAtmosphere.IsGlobalAtmosphere) { ...; AtmosphericEventInstance.CloneGlobalAddGasMix(WorldGrid, GasMixture); } (53-57) else CreateAdd on the real cell",,"Burning fuel ingot adds its SpawnContents gas: through the CloneGlobalAddGas event when handed the copy (the resample at 55 is read for temperature only). Item-content gas SOURCE into a real cell. | closure pass: L49 declaration, L70 base.Smelt hand-off (Item.Smelt, itself guarded). Ingot gas goes to a cloned real cell. Temperature lerp 0.6 toward outdoor temperature: absolute"
Assets.Scripts.Objects.Items/GasCanister.cs::InteractWith,read,no,,,Reads sampled pressure for the release sound.
Assets.Scripts.Objects.Items/GasCanister.cs::OnAtmosphericTick,gated,yes,"sample (190) used for pressure delta only; both mutations follow atmosphere = CloneGlobalAtmosphere(WorldGrid, 0L) (204, 230)",,A blown canister mixes (All) with a cloned real cell; an open canister volume-weight mixes its content type with a cloned real cell. Both on real cells.
Assets.Scripts.Objects.Items/GasCanister.cs::OnDamageDestroyed,gated,yes,"AtmosphericEventInstance.CloneGlobalAddGasMix(WorldGrid, new GasMixture(InternalAtmosphere.GasMixture), spark: true) (331)",,"Burst canister releases its contents into a cloned real cell, sparked."
Assets.Scripts.Objects.Items/GasCanister.cs::Recycle,gated,yes,"passes the sample to Smelt, which checks IsGlobalAtmosphere (285)",,Samples outdoor air and calls Smelt; Smelt routes through CloneGlobalAddGasMix when it is the copy. | closure pass: L299 hands an unguarded sample to Smelt; Smelt releases the canister contents into a cloned real cell. One-off per recycled canister
Assets.Scripts.Objects.Items/GasCanister.cs::Smelt,gated,yes,"if (localAtmosphere.IsGlobalAtmosphere) CloneGlobalAddGasMix(...) else CreateAdd(localAtmosphere, ...) (285-287)",,"Releases canister contents to a real cell. | closure pass: L283 declaration, L293 base.Smelt -> Item.Smelt (guarded CloneGlobalRemoveEnergy). One-off dump of canister contents"
Assets.Scripts.Objects.Items/GasMask.cs::FlushMask,bypass,yes,"mask and suit gas: CloneGlobalAddGasMix (376, 380) OK; lung gas: CreateAdd(base.WorldAtmosphere, ...) (389, 397) NONE",accepted: one lungful per flush,"Partial SINK. Mask and suit contents go through the gated clone event, but lung contents are queued with CreateAdd onto base.WorldAtmosphere, which outdoors is the read-only copy (the AddGasMixture event just calls _atmosphere.Add): lung gas destroyed, lungs reset. One lungful per flush (small, player action)."
Assets.Scripts.Objects.Items/GasMask.cs::OnAtmosphericTick,bypass,yes,NONE,accepted: a mask worn without a suit mixes with the copy; one mask volume per wearer per tick,"SOURCE and SINK (known). WorldAtmosphere = SampleGlobalAtmosphere (318) then AtmosphereHelper.Mix(Internal, WorldAtmosphere, Gas) (319): the mask interior is set to the volume-weighted mix with the 8000 L copy each tick while the copy ignores its Set. Exhaled CO2 vanishes and planet air appears free; about one mask-volume of gas per tick. Only when not worn with a suit."
Assets.Scripts.Objects.Items/Ice.cs::AttackWith,gated,yes,Ore.Smelt: if (localAtmosphere.IsGlobalAtmosphere) CloneGlobalAddGasMix (Ore.cs:110-114),,"Welder on ice: Smelt(base.WorldAtmosphere, ...) (134); Ice has no Smelt override, so Ore.Smelt routes the ice's gas through the clone event when outdoors. Item-content SOURCE. NRE if WorldAtmosphere null."
Assets.Scripts.Objects.Items/Ice.cs::CanMelt,read,no,,,Null check on WorldAtmosphere.
Assets.Scripts.Objects.Items/Ice.cs::HandleIceMelting,gated,yes,Ore.Smelt IsGlobalAtmosphere check (Ore.cs:110),,"Samples outdoor air (or the furnace internal), reads IsActive / WillMeltIce / temperature, then Smelt(atmosphere): the released gas/liquid goes via CloneGlobalAddGasMix when the sample is the copy. Released energy uses Lerp(outdoor T, ore T, 0.6). Ice melting outdoors is a real SOURCE of volatiles/water/etc. to the planet, including liquid. | closure pass: L182 Smelt(atmosphere, ...) with an unguarded sample (or furnace internal). One stack unit per tick while melting; gas lands in a cloned real cell. Phase/temperature: MeltTemperature, WillMeltIce, HasLight. Latent NRE: Smelt(null) possible when no atmosphere and lit"
Assets.Scripts.Objects.Items/Ice.cs::Recycle,gated,yes,Ore.Smelt IsGlobalAtmosphere check (Ore.cs:110),,Samples then Smelt; gated as above. | closure pass: L151 hands an unguarded sample to Smelt; one unit per recycle
Assets.Scripts.Objects.Items/Jetpack.cs::HasPropellent,read,no,,,Reads WorldAtmosphere moles/volume to compute usable propellant above ambient.
Assets.Scripts.Objects.Items/Jetpack.cs::OnAtmosphericTick,bypass,yes,only if (base.WorldAtmosphere == null) CloneGlobalAtmosphere (643-645); no IsGlobalAtmosphere check,"accepted: jetpack propellant is lost instead of reaching the planet; the player's own propellant, a canister at most","SINK. A worn jetpack inherits the wearer's WorldAtmosphere (DynamicThing.SetWorldAtmosphere), outdoors the read-only copy, which is non-null so the clone is skipped; base.WorldAtmosphere.Add(canister.Remove(MolesToUse x OutputSetting, Gas)) (647) destroys the propellant. Rate MolesPerEmission x 6 x JetpackRate x OutputSetting per tick while thrusting (absolute, small)."
Assets.Scripts.Objects.Items/Jetpack.cs::PropellantCritical,read,no,,,Reads WorldAtmosphere pressure.
Assets.Scripts.Objects.Items/Jetpack.cs::PropellantDelta,read,no,,,Reads WorldAtmosphere pressure.
Assets.Scripts.Objects.Items/Jetpack.cs::PropellantLow,read,no,,,Reads WorldAtmosphere pressure.
Assets.Scripts.Objects.Items/LiquidVacuum.cs::OnAtmosphericTick,gated,yes,"AtmosphericsController.World.CloneGlobalAtmosphere(new WorldGrid(RootParent.Position), 0L) (171)",,"Liquid: drains liquid between a cloned real cell and the internal atmosphere (both directions), _maxVolumePerTick (absolute) x LiquidWorldVolumeScale. If the tank holds liquid, each clone materialises a cell-share of global sea liquid that the vacuum can then suck: a gated tap on planet liquid."
Assets.Scripts.Objects.Items/Ore.cs::CentrifugeProcessUnit,gated,yes,passes the sample to Smelt; Ore.Smelt IsGlobalAtmosphere check (110),,Centrifuge smelts ore against sampled outdoor air; gas routed by Smelt. Smelt is virtual: every override is a consumer of the sample.
Assets.Scripts.Objects.Items/Ore.cs::Smelt,gated,yes,"if (localAtmosphere.IsGlobalAtmosphere) { ...; CloneGlobalAddGasMix(WorldGrid, gasMixture); } else CreateAdd(localAtmosphere, ...) (110-114)",,"Ore gas by-product (SpawnContents) added to a real cell; the resample at 112 is read for temperature only. The base chain (Stackable.Smelt / DynamicThing.Smelt) does not touch the atmosphere. | closure pass: L95 declaration, L128 base.Smelt -> Stackable.Smelt (reagents and Quantity-- only). The re-sample at L110 is read for temperature only. Lerp 0.6 absolute"
Assets.Scripts.Objects.Items/Plant.cs::BreathingAtmosphere,read,no,,,"Property forwards the tray's BreathingAtmosphere or base.WorldAtmosphere (WRAPPER). The known Plant breathing bypass mutates what this returns; the mutation is in its callers, not here. | closure pass: Wrapper: ParentTray.BreathingAtmosphere if non-null else WorldAtmosphere. Every grower returns null except HydroponicsAutomated (InternalAtmosphere), so tray / portable / station plants breathe WorldAtmosphere = the read-only copy outdoors with no cell"
Assets.Scripts.Objects.Items/Plant.cs::DoPlantBreathOut,bypass,yes,NONE,"accepted: the oxygen such a plant breathes out is dropped, about 0.0012 mol a tick each (0.12 mol a tick for a hundred plants)","Real method DoPlantBreathOut. Plant outdoors (tray in open air, no real cell) -> read-only copy. BreathingAtmosphere.Add(exhaled) is dropped: exhaled gas destroyed (the SINK half of the pair). Amount = ExhaledGases.Quantity * breathedRatio * GasProduction = 0.0012 mol O2 per tick per plant in shipped data; bounded per plant, 100 plants is about 0.12 mol per tick. Absolute per-plant constant"
Assets.Scripts.Objects.Items/Plant.cs::DoPlantBreathOutEndothermic,bypass,yes,NONE,"accepted: as above, plus 90 J a tick of cooling that never reaches the planet","Real method DoPlantBreathOutEndothermic (L1194-1229). Plant outdoors (tray in open air, no real cell) -> read-only copy. Add(gasMixture2) and GasMixture.RemoveEnergy(abs(ThermalPlantEnergy) * efficiency) are both dropped: exhaled O2/CH4 destroyed and the cooling never reaches the planet (no PAS.RemoveEnergy). Amount per tick per mature plant: min(90 J * efficiency / energy per mole, MolesDrunkLastTick); bounded by the water drunk per tick. Heat and gas"
Assets.Scripts.Objects.Items/Plant.cs::OnAtmosphericTick,read,no,,,"Listed lines (L1235 null/BeingDestroyed check, L1255/L1257 harmful-gas partial pressures) only read; the mutation is in TakePlantBreath which it calls"
Assets.Scripts.Objects.Items/Plant.cs::TakePlantBreath,bypass,yes,"NONE (only null / BeingDestroyed checks, L1123)","accepted: a plant on open ground breathes the copy, about 0.0012 mol of CO2 a tick each, taken from nowhere. An outdoor farm therefore does not change the planet; plants in a room or an automated tray breathe real air","Real method TakePlantBreath. Plant outdoors (tray in open air, no real cell) -> read-only copy. BreathingAtmosphere.Remove(gasMixture) RETURNS the inhaled moles without debiting: a free SOURCE feeding growth and BreathingEfficiency. Amount = InhaledGases.Quantity * clamp(ratio) * GasProduction = 0.0012 mol CO2 per tick per plant (shipped data; 0.0075 O2 + 0.0025 volatiles for the special plants). Bounded per plant. Reads temperature/pressure for efficiency curves (absolute plant thresholds)"
Assets.Scripts.Objects.Items/PlantAnalyserCartridge.cs::GasRequirementInfo,display,no,,,Reads plant.BreathingAtmosphere gas ratios for cartridge text
Assets.Scripts.Objects.Items/PlantAnalyserCartridge.cs::GenerateInfoStrings,display,no,,,Reads plant.BreathingAtmosphere temperature and pressure for cartridge text
Assets.Scripts.Objects.Items/PlantAnalyserCartridge.cs::ToxicGasInfo,display,no,,,Reads plant.BreathingAtmosphere partial pressures for cartridge text
Assets.Scripts.Objects.Items/PureIce.cs::HandleIceMelting,read,no,,,"Samples outdoor air (or furnace internal) only to test WillMeltIce and Temperature > MeltTemperature, then hands it to Smelt which guards. Melt threshold is an absolute temperature per gas. | closure pass: L60 Smelt(atmosphere, ...) with an unguarded sample (or furnace internal); one unit per tick while melting"
Assets.Scripts.Objects.Items/PureIce.cs::Smelt,gated,yes,if (localAtmosphere.IsGlobalAtmosphere) CloneGlobalAddGasMix(...) (line 85-87) else CreateAdd on the real atmosphere,,"Melting ice adds its SpawnContents gas (new matter from mined ice) to a real outdoor cell; reaches the planet via the cell. | closure pass: L64 declaration. First reads localAtmosphere.Temperature against MeltTemperature (phase threshold, TwentyDegrees absolute); MINIMUM_QUANTITY_MOLES cut-off; SpawnContents may be liquids"
Assets.Scripts.Objects.Items/RoadFlare.cs::GetBurningAtmosphere,gated,yes,"WorldAtmosphere == null || Mode == Global -> CloneGlobalAtmosphere, only if ReadonlyGlobalAtmosphere.IsAboveArmstrong (line 159-161)",,"Returns WorldAtmosphere; can still return the read-only copy when planet air is below Armstrong (6.3 kPa absolute), but the only caller (OnAtmosphericTick) mutates only if IsAboveArmstrong, which implies the cloned real cell. Caller adds 1000 J/tick HEAT + spark to the cell. | closure pass: L149 declaration. Caller adds 1000 J per tick (absolute) and Sparked. Below Armstrong the Global copy can be returned but the caller also requires IsAboveArmstrong, so no write reaches the copy"
Assets.Scripts.Objects.Items/RoadFlare.cs::OnAtmosphericTick,gated,yes,GetBurningAtmosphere: WorldAtmosphere null or Mode == Global -> CloneGlobalAtmosphere (line 161),,sparks and heats a real cell; 1000 J a tick while lit
Assets.Scripts.Objects.Items/SpaceOre.cs::Smelt,none,no,,,Quantity-- only; atmosphere parameter unused
Assets.Scripts.Objects.Items/SprayCan.cs::OnUseItem,gated,yes,CloneGlobalAddGasMix event -> CloneGlobalAtmosphere (AtmosphericEventInstance.cs:439),,Each spray adds PollutionMixture (new matter) to a real outdoor cell via the clone event.
Assets.Scripts.Objects.Items/Stackable.cs::Smelt,none,no,,,"Adds reagents, Quantity--; atmosphere parameter unused"
Assets.Scripts.Objects.Items/Stomach.cs::WetSelf,gated,yes,CloneGlobalAddGasMix event (line 125) -> CloneGlobalAtmosphere (AtmosphericEventInstance.cs:439),,"Moves polluted water (LIQUID) from stomach to suit, else to a cloned outdoor cell. Liquid enters the planet side via the cell."
Assets.Scripts.Objects.Items/WeldingTorch.cs::EjectInternalAtmosphere,gated,yes,if (WorldAtmosphere == null || WorldAtmosphere.Mode == Global) WorldAtmosphere = CloneGlobalAtmosphere (line 227-229),,Dumps torch internal gas into a real outdoor cell and sparks it.
Assets.Scripts.Objects.Pipes/ActiveVent.cs::GetWorkingAtmosphere,gated,no,CloneGlobalAtmosphere(WorldGrid) (line 383),,Returns a real cloned cell for the vent to pump to/from (virtual; never the read-only copy). Vent defaults use absolute targets OneAtmosphere and 50662.5 kPa.
Assets.Scripts.Objects.Pipes/ArcFurnace.cs::WaitThenSmelt,gated,yes,"CloneGlobal event (line 420); Smelt(SampleGlobalAtmosphere) at 426: every Smelt override checks localAtmosphere.IsGlobalAtmosphere and switches to CloneGlobal* events (Item.cs:365, Ore.cs, FuelIngot.cs, GasCanister.cs, PureIce.cs, Consumable.cs)",,"Per recipe adds recipe.Energy*PowerReleaseScale HEAT + spark to a cloned outdoor cell; hands the sampled (maybe read-only) air to the Smelt chain, all overrides of which are guarded. Energy reaches the planet heat counter via cell relaxation."
Assets.Scripts.Objects.Pipes/CarbonSequester.cs::OnAtmosphericTick,gated,yes,CloneGlobalAtmosphere(VentExtension.VentGrid) (line 221),,"Takes pipe gas, converts up to UsedPower/45000*100 mol CO2 per tick into O2 (carbon kept as reagent), vents all of it into a real cloned cell. Absolute device rate."
Assets.Scripts.Objects.Pipes/CombustionCentrifuge.cs::HandleBrokenMix,gated,yes,CloneGlobalAtmosphere(WorldGrid) (line 682); the sample at 676 is only null-checked,,"When broken, Mix(internal, cloned outdoor cell, All) including liquids."
Assets.Scripts.Objects.Pipes/CondensationChamber.cs::AtmosphericsProcessing,gated,yes,CloneGlobalAtmosphere(WorldGrid).Add (line 23),,"When open, dumps the whole internal mix (gas + LIQUID) into a real outdoor cell."
Assets.Scripts.Objects.Pipes/CryoTube.cs::GetPassiveTooltip,display,no,,,GameStrings.BreathingAtmosphere label plus tooltip of InternalAtmosphere
Assets.Scripts.Objects.Pipes/Device.cs::OnAtmosphericTick,gated,yes,CloneGlobalAtmosphere (line 1516) after a read-only IsAboveArmstrong test on the sample (line 1514),,"Every powered device with EnergyToHeatRatio > 0 adds usedPower*ratio J/tick HEAT to a cloned outdoor cell, only if outdoor air > ArmstrongLimit (6.3 kPa absolute). Also means every such outdoor device keeps a real cell alive (one cell share debited from the tank)."
Assets.Scripts.Objects.Pipes/DispersalTower.cs::OnAtmosphericTick,gated,yes,CloneGlobalAtmosphere(VentExtension.VentGrid) (line 158),,"When open, MoveToEqualize(internal -> cloned outdoor cell, PressurekPa.MaxValue, All): unlimited-rate release of gas and LIQUID to the planet side."
Assets.Scripts.Objects.Pipes/DispersalTower.cs::OnServerImportTick,none,no,,,"TerraForming.AddPlantsToWorld: bumps the global vegetation counter and genes (GlobalPlants); no gas or heat. Planet-scale vegetation state, not atmosphere."
Assets.Scripts.Objects.Pipes/EvaporationChamber.cs::AtmosphericsProcessing,gated,yes,CloneGlobalAtmosphere(WorldGrid).Add (line 26),,"When open, dumps internal mix (gas + LIQUID) into a real outdoor cell. Liquid intake 0.25 L/tick absolute (device side)."
Assets.Scripts.Objects.Pipes/FloorDrain.cs::OnAtmosphericTick,gated,yes,CloneGlobalAtmosphere(WorldGrid) (line 39); neighbour shells via GetAtmosphereLocal only,,"Drains up to LiquidPipeVolume L/tick of LIQUID from the cell and flat real neighbours into the pipe, and Mix(cell, pipe, Gas). The clone debits the tank, so an outdoor drain is a legitimate planet<->pipe gas path."
Assets.Scripts.Objects.Pipes/FurnaceBase.cs::Explode,gated,yes,CloneGlobalAddGasMix event (line 762) -> CloneGlobalAtmosphere,,"On burst, copies internal mix into a cloned outdoor cell and resets internal (only if internal is above Armstrong; otherwise nothing is released)."
Assets.Scripts.Objects.Pipes/FurnaceBase.cs::HandleBrokenMix,gated,yes,CloneGlobalAtmosphere(WorldGrid) (line 479); the sample at 473 is only null-checked,,"Broken furnace Mix(internal, cloned outdoor cell, All)."
Assets.Scripts.Objects.Pipes/FurnaceBase.cs::HandlePressureCheck,read,no,,,Reads outdoor pressure to compute burst delta against MAXPressureDelta (absolute device limit); damage only.
Assets.Scripts.Objects.Pipes/FurnaceBase.cs::Ignite,none,no,,,"Hands the furnace own InternalAtmosphere to Ice.Smelt: a real thing atmosphere, never the planet copy"
Assets.Scripts.Objects.Pipes/FurnaceBase.cs::IsOverpressure,read,no,,,Reads outdoor pressure for a tooltip warning.
Assets.Scripts.Objects.Pipes/FurnaceBase.cs::OnDestroy,gated,yes,CloneGlobalAddGasMix event (line 941) -> CloneGlobalAtmosphere,,"On destroy, internal mix goes to a cloned outdoor cell (sparked if inflamed)."
Assets.Scripts.Objects.Pipes/FurnaceBase.cs::OnServerImportTick,none,no,,,Calls Smelt(ImportingThing) -> InternalAtmosphere hand-off; no outdoor air
Assets.Scripts.Objects.Pipes/FurnaceBase.cs::Smelt,none,no,,,"bool Smelt(DynamicThing): dynamicThing.Smelt(InternalAtmosphere, ReagentMixture); internal atmosphere only"
Assets.Scripts.Objects.Pipes/HydroponicTray.cs::(type),none,no,,,Property BreathingAtmosphere => null: plant falls through to WorldAtmosphere (see Plant rows)
Assets.Scripts.Objects.Pipes/HydroponicTray.cs::CurrentLightExposure,read,no,,,Reads Plant.WorldAtmosphere.HasLight only.
Assets.Scripts.Objects.Pipes/HydroponicsTrayDevice.cs::CurrentLightExposure,read,no,,,Reads Plant.WorldAtmosphere.HasLight only.
Assets.Scripts.Objects.Pipes/HydroponicsTrayDevice.cs::IsLitByGrowLight,none,no,,,Real member is property BreathingAtmosphere => null (L60): plant falls through to WorldAtmosphere
Assets.Scripts.Objects.Pipes/IGrower.cs::(type),none,no,,,Interface declaration of BreathingAtmosphere
Assets.Scripts.Objects.Pipes/IceCrusher.cs::OnServerImportTick,none,no,,,"Ice.Smelt(InternalAtmosphere, ...) plus CreateAddEnergy on InternalAtmosphere; internal only"
Assets.Scripts.Objects.Pipes/IndustrialBurner.cs::HandleGasInput,gated,yes,CloneGlobalAtmosphere(ChimneyExtension.VentGrid) (line 394),,"Chimney: MoveToEqualize internal exhaust -> cloned outdoor cell, rate mapped between OneAtmosphere and MAXPressureGasPipe/10 (absolute). O2 burn and CO2 creation happen on the internal atmosphere."
Assets.Scripts.Objects.Pipes/IndustrialBurner.cs::OnServerImportTick,none,no,,,Calls inherited FurnaceBase.Smelt(ImportingThing) -> InternalAtmosphere; internal only
Assets.Scripts.Objects.Pipes/IndustrialCombustor.cs::OnAtmosphericTick,gated,yes,CloneGlobalAtmosphere(ChimneyExtension.VentGrid) (line 227),,"Chimney: MoveToEqualize internal -> cloned outdoor cell, unlimited (PressurekPa.MaxValue), gas only. Heat-sink exchange is with internal and output pipe only."
Assets.Scripts.Objects.Pipes/LiquidTap.cs::OnAtmosphericTick,gated,yes,CloneGlobalAtmosphere(WorldGrid) (line 46),,Drains half the input LIQUID volume per tick into a cloned cell.
Assets.Scripts.Objects.Pipes/MultiGridAtmospherics.cs::VentWorldToInternal,gated,yes,CloneGlobalAtmosphere(startingGrid) (line 44); neighbour shells via GetAtmosphereLocal only,,Pumps gas from cloned cells and real neighbours (up to 6 shells) into an internal atmosphere; each clone debits the tank. maxTakeRatio 0.5.
Assets.Scripts.Objects.Pipes/Pipe.cs::GetWorkingAtmosphere,gated,no,CloneGlobalAtmosphere(WorldGrid) (line 557) or crew module internal,,"Returns a real cell, never the read-only copy."
Assets.Scripts.Objects.Pipes/Pipe.cs::OnAtmosphericTick,gated,yes,CloneGlobalAtmosphere(currentGrid) (line 432) -> LeakMix,,Burst pipe: drains LIQUID and equalises or mixes gas with a cloned cell per occupied grid. Absolute OneAtmosphere threshold picks equalise vs mix. Also SpawnIces from pipe gas.
Assets.Scripts.Objects.Pipes/PipeHeater.cs::(type),none,no,,,L17 private field _worldAtmosphere declared and never referenced: dead
Assets.Scripts.Objects.Pipes/PipeRadiator.cs::(type),none,no,,,L11 private field _worldAtmosphere declared and never referenced (the tick uses a local sample): dead
Assets.Scripts.Objects.Pipes/PipeRadiator.cs::GetWorkingAtmosphere,gated,no,CloneGlobalAtmosphere(WorldGrid) (line 25) or crew module internal,,Returns a real cell.
Assets.Scripts.Objects.Pipes/PipeRadiator.cs::OnAtmosphericTick,gated,yes,"AtmosphereHelper.DoConvection: if (worldAtmosphere.Mode != Global) transfer, else CloneGlobalAtmosphereThreadSafe(grid) (AtmosphereHelper.cs:536-545)",,"HEAT: convection energy moves pipe <-> outdoor cell (clones a real cell when the sample is the read-only copy); the radiated part goes DoEntropy -> PAS.AddEnergy (switched, ExternalInputEnergyOffset counter). CalculateConvection only reads the sample. An outdoor radiator therefore creates or keeps a real cell every tick."
Assets.Scripts.Objects.Pipes/PoweredVentMultiGrid.cs::ExchangeWithWorld,gated,yes,CloneGlobalAtmosphere(WorldGrid) (line 17); neighbours via GetAtmosphereLocal,,"Powered vent in/out at PressurePerTick against ExternalPressure, over up to 6 shells of real neighbour cells."
Assets.Scripts.Objects.Pipes/PoweredVentSingleGrid.cs::ExchangeWithWorld,gated,yes,CloneGlobalAtmosphere(WorldGrid) (line 10),,Powered vent in/out at PressurePerTick on one cloned cell.
Assets.Scripts.Objects.Pipes/RocketEngineBase.cs::BlockPlumeNeighbourAtmospheres,gated,yes,"CloneGlobalAtmosphere(grid, allowCrewModules: false) (lines 554, 559, 564)",,"Creates up to 3 real cells under the flame and flags SimpleRocketExhaust; each clone debits the tank. Skipped at grid y >= 10000 (= 1000 m space line, absolute)."
Assets.Scripts.Objects.Pipes/RocketEngineBase.cs::Exhaust,gated,yes,"CloneGlobalAtmosphere(grid2, allowCrewModules: false) (line 488)",,"Spreads engine exhaust over a column of cloned cells. SINK TO SPACE: if flame grid y >= 10000 (1000 m, absolute) the whole internal mix is Removed and discarded, and any remainder after the loop is discarded too: exhaust above the space line leaves the world (propellant from tanks, not planet air). Contradicts the doc line that gas cannot be dumped to space."
Assets.Scripts.Objects.Pipes/StateChangeDevice.cs::OnDestroy,gated,yes,CloneGlobalAddGasMix event (line 166) -> CloneGlobalAtmosphere,,On destroy internal mix goes to a cloned outdoor cell.
Assets.Scripts.Objects.Pipes/Tank.cs::OnAtmosphericTick,gated,yes,IsBroken branch reassigns atmosphere = CloneGlobalAtmosphere (line 53) before Mix; otherwise the sample is only read,,"Broken tank Mix(internal, cloned cell). Otherwise reads outdoor pressure for burst damage against MAXPressureGasPipe / MAXPressureLiquidPipe (absolute)."
Assets.Scripts.Objects.Pipes/Tank.cs::OnDestroy,gated,yes,CloneGlobalAddGasMix event (line 81) -> CloneGlobalAtmosphere,,On destroy internal mix goes to a cloned outdoor cell.
Assets.Scripts.Objects.Pipes/WallVent.cs::OnAtmosphericTick,bypass,yes,NONE,FIXED: Guards.WallVentPrefix builds a real outdoor cell for the side that has none. The ordinary way to open a base to outdoors; averaged a whole room with a bottomless copy every tick,"KNOWN. Mix(Sample(facing), Sample(rear), Gas) with no real-cell guard. If one side is a real cell and the other the read-only copy, the real side is set to the volume-weighted average every tick while the planet side is ignored: free SOURCE when the room is thinner than the planet, SINK when thicker; moves half the difference of an 8000 L cell per tick. Both sides read-only is a no-op."
Assets.Scripts.Objects.Weapons/Grenade.cs::OnAtmosphericTick,gated,yes,if (WorldAtmosphere == null || Mode == Global) WorldAtmosphere = CloneGlobalAtmosphere (line 139-141),,Armed grenade sparks the cell and adds 100 J/tick HEAT.
Assets.Scripts.Objects/DynamicAirConditioner.cs::IsWithinOperatingRange,read,no,,,Reads WorldAtmosphere.Temperature against absolute limits MINCoolingTemp 263.15 K and MAXHeatingTemp 323.15 K.
Assets.Scripts.Objects/DynamicAirConditioner.cs::OnAtmosphericTick,gated,yes,"if (WorldAtmosphere.IsGlobalAtmosphere) WorldAtmosphere = CloneGlobalAtmosphere (line 336-338), after WorldAtmosphere == null / !IsAboveArmstrong returns",,HEAT only: adds or removes UsedPower*100 (canister) or UsedPower*10 (element) J/tick on the real cell. BUT it calls VentWaste() at line 311 BEFORE this guard: see the VentWaste row. ArmstrongLimit absolute.
Assets.Scripts.Objects/DynamicAirConditioner.cs::VentWaste,bypass,yes,NONE,accepted: a portable air conditioner's waste gas is lost outdoors where no cell exists; its small internal volume per tick while open,"WorldAtmosphere.Add(InternalAtmosphere.Remove(all)) with no guard; called from OnAtmosphericTick line 311 before the IsGlobalAtmosphere clone at 336. Outdoors with no real cell WorldAtmosphere is the read-only copy, so the vented waste gas is destroyed: SINK, the whole internal mix per tick while open. Also NRE if WorldAtmosphere is null."
Assets.Scripts.Objects/DynamicComposter.cs::DoProcessing,gated,yes,CloneGlobalAddGasMix event (line 186) -> CloneGlobalAtmosphere,,"Adds ExspelledGas * processed fraction (new matter from compost, at fixed Kelvin) to a cloned outdoor cell."
Assets.Scripts.Objects/DynamicGasCanister.cs::OnAtmosphereClient,read,no,,,Client side: reads outdoor pressure to show PressureDelta.
Assets.Scripts.Objects/DynamicGasCanister.cs::OnAtmosphericTick,gated,yes,"CloneGlobalAtmosphere(WorldGrid).Add (line 349 broken, line 395 release); the sample at 344 is only read",,Portable tank releases up to PressurePerTick toward OutputSetting into a cloned cell; broken dumps everything. Reads outdoor pressure for burst damage. | closure pass: L335 Smelt(dynamicThing) for an Ice occupant -> own InternalAtmosphere; the outdoor parts of this member are already in the ledger
Assets.Scripts.Objects/DynamicGasCanister.cs::OnDamageDestroyed,gated,yes,"CloneGlobalAddGasMix event (line 527, spark) -> CloneGlobalAtmosphere",,"Burst: internal mix copied to a cloned outdoor cell, internal reset."
Assets.Scripts.Objects/DynamicGasCanister.cs::Smelt,none,no,,,bool Smelt(DynamicThing): hands InternalAtmosphere; internal only
Assets.Scripts.Objects/DynamicGenerator.cs::OnAtmosphericTick,bypass,yes,"NONE (only if (WorldAtmosphere == null) CloneGlobalAtmosphere, line 303-305; no Mode / IsGlobalAtmosphere check)","accepted: a portable generator's exhaust is lost where no outdoor cell exists. Bounded by the fuel a player feeds it: one full canister of fuel is about 10,000 mol of exhaust, 0.4 % of a Standard Mars. Industrial burners and furnaces, the way to make CO2 in bulk, go through the planet","WorldAtmosphere.Add(internal exhaust) then internal Reset (line 307). SetWorldAtmosphere caches SampleGlobalAtmosphere, so outdoors without a real cell WorldAtmosphere is the non-null read-only copy: the Add is ignored and the exhaust (CO2, pollutant etc. plus its combustion HEAT) is destroyed. SINK, one internal-volume charge at PressurePerTick per tick. Combustion O2 comes from the canister, not the planet."
Assets.Scripts.Objects/DynamicGenerator.cs::VentAllAtmosphereToWorld,bypass,yes,"NONE (only WorldAtmosphere == null -> clone, line 206-208)","accepted: same, on destroying a portable generator; its small internal exhaust volume, one-off","OnDestroy: MoveVolume(internal -> WorldAtmosphere, whole volume). If WorldAtmosphere is the read-only copy the gas is removed from internal and the Add ignored: SINK of the internal mix, once."
Assets.Scripts.Objects/DynamicHydroponics.cs::(type),none,no,,,Property BreathingAtmosphere => null: plant falls through to WorldAtmosphere
