site,client,reads,effect,evidence
Assets.Scripts.Objects.Items/FireExtinguisher.cs::ShouldEmitParticles,both,mixed,spray particles shown only if canister pressure > WorldAtmosphere pressure; where no synced cell that is the shipped planet pressure (host's per-tick clone at FireExtinguisher.cs:78 normally supplies a cell),"EmitParticles :130 <- OnInteractableUpdated :105/:118 <- Interactable.cs:226 State setter (any machine, no RunSimulation); skipped in batch mode"
Assets.Scripts.Objects.Items/FireExtinguisher.cs::UseExtinguisher,both,mixed,on a client-held extinguisher the client decides whether to send Activate from canister pressure vs its WorldAtmosphere; where no synced cell that is shipped planet pressure (host's per-tick clone at :78 normally supplies a cell),OnUsePrimary :52 <- InventoryManager.cs:2425 or OnServer.cs:978 (both run locally on the using player's machine); loop polls KeyManager; sends via Thing.cs:3587-3589 NetworkClient.Interact; reads base.WorldAtmosphere :60
Assets.Scripts.Objects.Items/FuelIngot.cs::Smelt,server-only,n/a,none,"callers all server-side: SolidFuelGenerator.cs:118 (<- OnAtmosphericTick), FurnaceBase.cs:374 Ignite (returns if !RunSimulation :366), FurnaceBase.cs:519 / ArcFurnace.cs:426 (<- OnServerImportTick), DynamicThing.cs:1153 (recursive Smelt); OnServerImportTick <- DeviceImport.cs:221 / DeviceInputOutputImport.cs:215 OnServerTick <- OcclusionManager.cs:129 ServerTick, started only if RunSimulation (OcclusionManager.cs:529); writes go through AtmosphericEventInstance, which returns unless RunSimulation (AtmosphericEventInstance.cs:221/245/261)"
Assets.Scripts.Objects.Items/GasCanister.cs::InteractWith,both,mixed,valve-open release sound volume scaled by canister pressure minus shipped planet pressure where the canister has no outdoor cell,"client: NetworkClient.cs:650 calls Parent.InteractWith(doAction default true); sample GasCanister.cs:308, PlaySound :317"
Assets.Scripts.Objects.Items/GasCanister.cs::OnAtmosphericTick,server-only,n/a,none,sole caller of Thing.OnAtmosphericTick is AtmosphericsManager.cs:95 <- ThingAtmosphereTick :433 <- GameManager.cs:787 (inside if (RunSimulation) :777)
Assets.Scripts.Objects.Items/GasCanister.cs::OnDamageDestroyed,server-only,n/a,none,gas release inside if (GameManager.RunSimulation && !_hasBlown) GasCanister.cs:326; client only swaps the mesh
Assets.Scripts.Objects.Items/GasCanister.cs::Recycle,server-only,n/a,none,"only caller Recycler.cs:120 RecycleThing <- Recycle :235 in OnServerImportTick :214; OnServerImportTick <- DeviceImport.cs:221 / DeviceInputOutputImport.cs:215 OnServerTick <- OcclusionManager.cs:129 ServerTick, started only if RunSimulation (OcclusionManager.cs:529)"
Assets.Scripts.Objects.Items/GasCanister.cs::Smelt,server-only,n/a,none,"callers GasCanister.cs:299 Recycle (server), DynamicThing.cs:1153, furnace/import paths (server); writes go through AtmosphericEventInstance, which returns unless RunSimulation (AtmosphericEventInstance.cs:221/245/261)"
Assets.Scripts.Objects.Items/GasMask.cs::FlushMask,server-only,n/a,none,GasMask.cs:372 returns if !GameManager.RunSimulation
Assets.Scripts.Objects.Items/GasMask.cs::OnAtmosphericTick,server-only,n/a,none,sole caller of Thing.OnAtmosphericTick is AtmosphericsManager.cs:95 <- ThingAtmosphereTick :433 <- GameManager.cs:787 (inside if (RunSimulation) :777)
Assets.Scripts.Objects.Items/Ice.cs::AttackWith,server-only,n/a,none,"Smelt at Ice.cs:134 needs doAction: client path OnServer.cs:156 passes doAction=RunSimulation=false and returns at :130-132; host runs it via AttackWithMessage.cs:33; Ore.Smelt writes via AtmosphericEventInstance (RunSimulation-guarded :221/:261). Local-event path InventoryManager.cs:3145 depends on the welder prefab's AttackWithEvent (default Server, DynamicThing.cs:104; prefab not inspectable)"
Assets.Scripts.Objects.Items/Ice.cs::CanMelt,server-only,n/a,none,"only used at Ice.cs:162 HandleIceMelting and PureIce.cs:42, both <- Ice.OnAtmosphericTick :157; sole caller of Thing.OnAtmosphericTick is AtmosphericsManager.cs:95 <- ThingAtmosphereTick :433 <- GameManager.cs:787 (inside if (RunSimulation) :777)"
Assets.Scripts.Objects.Items/Ice.cs::HandleIceMelting,server-only,n/a,none,only caller Ice.cs:157 OnAtmosphericTick; sole caller of Thing.OnAtmosphericTick is AtmosphericsManager.cs:95 <- ThingAtmosphereTick :433 <- GameManager.cs:787 (inside if (RunSimulation) :777)
Assets.Scripts.Objects.Items/Ice.cs::Recycle,server-only,n/a,none,"only caller Recycler.cs:120 <- OnServerImportTick :214; OnServerImportTick <- DeviceImport.cs:221 / DeviceInputOutputImport.cs:215 OnServerTick <- OcclusionManager.cs:129 ServerTick, started only if RunSimulation (OcclusionManager.cs:529)"
Assets.Scripts.Objects.Items/Jetpack.cs::HasPropellent,both,mixed,"client's own jetpack thrust gate subtracts ambient moles from its WorldAtmosphere; outdoors with no cell that is shipped planet density, so thrust can cut out earlier or later than host's air implies","MovementController.cs:668/1008 (local player movement, no RunSimulation), Human.cs:1316; reads WorldAtmosphere Jetpack.cs:262-264"
Assets.Scripts.Objects.Items/Jetpack.cs::OnAtmosphericTick,server-only,n/a,none,sole caller of Thing.OnAtmosphericTick is AtmosphericsManager.cs:95 <- ThingAtmosphereTick :433 <- GameManager.cs:787 (inside if (RunSimulation) :777); also returns if !RunSimulation Jetpack.cs:631
Assets.Scripts.Objects.Items/Jetpack.cs::PropellantCritical,both,mixed,HUD jetpack critical warning uses canister pressure minus shipped planet pressure where no cell,StatusUpdates.cs:620 IsJetpackPropellentCritical <- :1593 RunFlashJetpack / :1759 HandleIconUpdates <- :544 ManagerUpdate (per frame)
Assets.Scripts.Objects.Items/Jetpack.cs::PropellantDelta,unreachable,n/a,none,"no caller: grep -w PropellantDelta hits only the declaration Jetpack.cs:231. The HUD computes the same delta inline at PlayerStateWindow.cs:544 from jetpack.WorldAtmosphere (mixed, per frame), not in this batch"
Assets.Scripts.Objects.Items/Jetpack.cs::PropellantLow,both,mixed,HUD jetpack low-propellant caution uses canister pressure minus shipped planet pressure where no cell,StatusUpdates.cs:609 IsJetpackPropellentCaution <- :1599/:1759 <- :544 ManagerUpdate (per frame)
Assets.Scripts.Objects.Items/LiquidVacuum.cs::OnAtmosphericTick,server-only,n/a,none,sole caller of Thing.OnAtmosphericTick is AtmosphericsManager.cs:95 <- ThingAtmosphereTick :433 <- GameManager.cs:787 (inside if (RunSimulation) :777)
Assets.Scripts.Objects.Items/Ore.cs::CentrifugeProcessUnit,server-only,n/a,none,"callers Centrifuge.cs:351 CollectResource <- :296 OnServerImportTick; CombustionCentrifuge.cs:497 <- :439 OnServerImportTick; OnServerImportTick <- DeviceImport.cs:221 / DeviceInputOutputImport.cs:215 OnServerTick <- OcclusionManager.cs:129 ServerTick, started only if RunSimulation (OcclusionManager.cs:529)"
Assets.Scripts.Objects.Items/Ore.cs::Smelt,server-only,n/a,none,"all Smelt callers are server-side (import ticks, OnAtmosphericTick, Ignite guarded FurnaceBase.cs:366, Recycle); writes go through AtmosphericEventInstance, which returns unless RunSimulation (AtmosphericEventInstance.cs:221/245/261)"
Assets.Scripts.Objects.Items/Plant.cs::BreathingAtmosphere,both,mixed,wrapper; on a client only the plant analyser reads it (see PlantAnalyserCartridge rows); breathing itself is host-side,"readers: Plant.cs:1123-1140/1235-1257 (OnAtmosphericTick, server), PlantAnalyserCartridge.cs:30-67/240-262 (OnScreenUpdate <- Cartridge.cs:143 UpdateEachFrame <- GameManager.cs:1503 Update (per frame, no RunSimulation))"
Assets.Scripts.Objects.Items/Plant.cs::DoPlantBreathOut,server-only,n/a,none,only caller Plant.cs:1148 TakePlantBreath <- :1239 OnAtmosphericTick; sole caller of Thing.OnAtmosphericTick is AtmosphericsManager.cs:95 <- ThingAtmosphereTick :433 <- GameManager.cs:787 (inside if (RunSimulation) :777)
Assets.Scripts.Objects.Items/Plant.cs::DoPlantBreathOutEndothermic,server-only,n/a,none,only caller Plant.cs:1152 TakePlantBreath <- :1239 OnAtmosphericTick; sole caller of Thing.OnAtmosphericTick is AtmosphericsManager.cs:95 <- ThingAtmosphereTick :433 <- GameManager.cs:787 (inside if (RunSimulation) :777)
Assets.Scripts.Objects.Items/Plant.cs::OnAtmosphericTick,server-only,n/a,none,sole caller of Thing.OnAtmosphericTick is AtmosphericsManager.cs:95 <- ThingAtmosphereTick :433 <- GameManager.cs:787 (inside if (RunSimulation) :777)
Assets.Scripts.Objects.Items/Plant.cs::TakePlantBreath,server-only,n/a,none,only caller Plant.cs:1239 OnAtmosphericTick; sole caller of Thing.OnAtmosphericTick is AtmosphericsManager.cs:95 <- ThingAtmosphereTick :433 <- GameManager.cs:787 (inside if (RunSimulation) :777)
Assets.Scripts.Objects.Items/PlantAnalyserCartridge.cs::GasRequirementInfo,both,mixed,plant analyser shows inhaled-gas ratios (green/red) of shipped planet air for an open-air plant with no cell,"ctor <- UpdateRequirements :47 <- GenerateInfoStrings :253 <- OnScreenUpdate :274 <- Cartridge.cs:143 UpdateEachFrame <- GameManager.cs:1503 Update (per frame, no RunSimulation)"
Assets.Scripts.Objects.Items/PlantAnalyserCartridge.cs::GenerateInfoStrings,both,mixed,"plant analyser current temperature and pressure come from shipped planet air (no cell) while the efficiency percentages come from host-synced PlantStatus (Plant.cs:502/576), so the two can disagree","OnScreenUpdate :274 <- Cartridge.cs:143 UpdateEachFrame <- GameManager.cs:1503 Update (per frame, no RunSimulation); reads :258/:262"
Assets.Scripts.Objects.Items/PlantAnalyserCartridge.cs::ToxicGasInfo,both,mixed,plant analyser toxic-gas partial pressures (green/red) from shipped planet air for an open-air plant with no cell,"ctor <- UpdateToxicGasInfo :76 <- GenerateInfoStrings :254 <- OnScreenUpdate :274 <- Cartridge.cs:143 UpdateEachFrame <- GameManager.cs:1503 Update (per frame, no RunSimulation)"
Assets.Scripts.Objects.Items/PureIce.cs::HandleIceMelting,server-only,n/a,none,override reached only from Ice.cs:157 OnAtmosphericTick; sole caller of Thing.OnAtmosphericTick is AtmosphericsManager.cs:95 <- ThingAtmosphereTick :433 <- GameManager.cs:787 (inside if (RunSimulation) :777)
Assets.Scripts.Objects.Items/PureIce.cs::Smelt,server-only,n/a,none,"callers PureIce.cs:60 HandleIceMelting (server), furnace/crusher import ticks, DynamicGasCanister.cs:323 (<- OnAtmosphericTick :335); writes go through AtmosphericEventInstance, which returns unless RunSimulation (AtmosphericEventInstance.cs:221/245/261)"
Assets.Scripts.Objects.Items/RoadFlare.cs::GetBurningAtmosphere,server-only,n/a,none,only caller RoadFlare.cs:169 OnAtmosphericTick; sole caller of Thing.OnAtmosphericTick is AtmosphericsManager.cs:95 <- ThingAtmosphereTick :433 <- GameManager.cs:787 (inside if (RunSimulation) :777)
Assets.Scripts.Objects.Items/RoadFlare.cs::OnAtmosphericTick,server-only,n/a,none,sole caller of Thing.OnAtmosphericTick is AtmosphericsManager.cs:95 <- ThingAtmosphereTick :433 <- GameManager.cs:787 (inside if (RunSimulation) :777)
Assets.Scripts.Objects.Items/SprayCan.cs::OnUseItem,server-only,n/a,none,"paint path ISprayer.cs:61 if (RunSimulation) before OnUseItem :63; tool/build paths need doAction (client passes false, OnServer.cs:156); the gas write is AtmosphericEventInstance.CloneGlobalAddGasMix, a no-op unless RunSimulation (AtmosphericEventInstance.cs:261)"
Assets.Scripts.Objects.Items/Stomach.cs::WetSelf,server-only,n/a,none,only caller Stomach.cs:51 OnLifeTick <- Entity.cs:1038 organ loop <- AtmosphericsManager.cs:749 LifeTicksTick <- GameManager.cs:789 (RunSimulation block)
Assets.Scripts.Objects.Items/WeldingTorch.cs::EjectInternalAtmosphere,server-only,n/a,none,only callers WeldingTorch.cs:244/:253 in OnAtmosphericTick; sole caller of Thing.OnAtmosphericTick is AtmosphericsManager.cs:95 <- ThingAtmosphereTick :433 <- GameManager.cs:787 (inside if (RunSimulation) :777)
Assets.Scripts.Objects.Pipes/ActiveVent.cs::GetWorkingAtmosphere,server-only,n/a,none,only caller ActiveVent.cs:391 OnAtmosphericTick (CrewModuleActiveVent overrides); sole caller of Thing.OnAtmosphericTick is AtmosphericsManager.cs:95 <- ThingAtmosphereTick :433 <- GameManager.cs:787 (inside if (RunSimulation) :777)
Assets.Scripts.Objects.Pipes/ArcFurnace.cs::WaitThenSmelt,server-only,n/a,none,"started only at ArcFurnace.cs:250 in OnServerImportTick :226; OnServerImportTick <- DeviceImport.cs:221 / DeviceInputOutputImport.cs:215 OnServerTick <- OcclusionManager.cs:129 ServerTick, started only if RunSimulation (OcclusionManager.cs:529)"
Assets.Scripts.Objects.Pipes/CarbonSequester.cs::OnAtmosphericTick,server-only,n/a,none,sole caller of Thing.OnAtmosphericTick is AtmosphericsManager.cs:95 <- ThingAtmosphereTick :433 <- GameManager.cs:787 (inside if (RunSimulation) :777)
Assets.Scripts.Objects.Pipes/CombustionCentrifuge.cs::HandleBrokenMix,server-only,n/a,none,only caller CombustionCentrifuge.cs:642 in OnAtmosphericTick :637; sole caller of Thing.OnAtmosphericTick is AtmosphericsManager.cs:95 <- ThingAtmosphereTick :433 <- GameManager.cs:787 (inside if (RunSimulation) :777)
Assets.Scripts.Objects.Pipes/CondensationChamber.cs::AtmosphericsProcessing,server-only,n/a,none,only caller StateChangeDevice.cs:186 in OnAtmosphericTick; sole caller of Thing.OnAtmosphericTick is AtmosphericsManager.cs:95 <- ThingAtmosphereTick :433 <- GameManager.cs:787 (inside if (RunSimulation) :777)
Assets.Scripts.Objects.Pipes/CryoTube.cs::GetPassiveTooltip,both,synced-other,none,"tooltip UI (InventoryManager.cs:2029-2030); shows the tube's internal and pipe-network atmospheres (synced via AtmosphericsManager.SerialiseDeltaState :869), no planet state"
Assets.Scripts.Objects.Pipes/Device.cs::OnAtmosphericTick,server-only,n/a,none,sole caller of Thing.OnAtmosphericTick is AtmosphericsManager.cs:95 <- ThingAtmosphereTick :433 <- GameManager.cs:787 (inside if (RunSimulation) :777)
Assets.Scripts.Objects.Pipes/DispersalTower.cs::OnAtmosphericTick,server-only,n/a,none,sole caller of Thing.OnAtmosphericTick is AtmosphericsManager.cs:95 <- ThingAtmosphereTick :433 <- GameManager.cs:787 (inside if (RunSimulation) :777)
Assets.Scripts.Objects.Pipes/EvaporationChamber.cs::AtmosphericsProcessing,server-only,n/a,none,only caller StateChangeDevice.cs:186 in OnAtmosphericTick; sole caller of Thing.OnAtmosphericTick is AtmosphericsManager.cs:95 <- ThingAtmosphereTick :433 <- GameManager.cs:787 (inside if (RunSimulation) :777)
Assets.Scripts.Objects.Pipes/FloorDrain.cs::OnAtmosphericTick,server-only,n/a,none,sole caller of Thing.OnAtmosphericTick is AtmosphericsManager.cs:95 <- ThingAtmosphereTick :433 <- GameManager.cs:787 (inside if (RunSimulation) :777)
Assets.Scripts.Objects.Pipes/FurnaceBase.cs::Explode,server-only,n/a,none,only trigger FurnaceBase.cs:748 in HandlePressureCheck <- :449 OnAtmosphericTick; release also inside if (RunSimulation) :759
Assets.Scripts.Objects.Pipes/FurnaceBase.cs::HandleBrokenMix,server-only,n/a,none,only caller FurnaceBase.cs:444 OnAtmosphericTick; sole caller of Thing.OnAtmosphericTick is AtmosphericsManager.cs:95 <- ThingAtmosphereTick :433 <- GameManager.cs:787 (inside if (RunSimulation) :777)
Assets.Scripts.Objects.Pipes/FurnaceBase.cs::HandlePressureCheck,server-only,n/a,none,only caller FurnaceBase.cs:449 OnAtmosphericTick; sole caller of Thing.OnAtmosphericTick is AtmosphericsManager.cs:95 <- ThingAtmosphereTick :433 <- GameManager.cs:787 (inside if (RunSimulation) :777)
Assets.Scripts.Objects.Pipes/FurnaceBase.cs::IsOverpressure,both,mixed,furnace tooltip / info panel over-pressure warning compares the synced internal pressure with shipped planet pressure where the furnace has no outdoor cell; can show or miss the warning versus host,"callers GetExtendedText :608, InfoPanelText :629, GetPassiveTooltip :658 (tooltip UI PanelToolTip.cs:61, InventoryManager.cs:2029-2030, no guard); sample :617"
Assets.Scripts.Objects.Pipes/FurnaceBase.cs::OnDestroy,server-only,n/a,none,"Unity OnDestroy runs everywhere, but its only atmosphere effect is AtmosphericEventInstance.CloneGlobalAddGasMix/Reset (FurnaceBase.cs:941-942), which return unless RunSimulation (AtmosphericEventInstance.cs:261/245)"
Assets.Scripts.Objects.Pipes/HydroponicTray.cs::CurrentLightExposure,server-only,n/a,none,"readers: Plant.CurrentLightExposure Plant.cs:322 -> Plant.OnAtmosphericTick :1244, PlantStatus.PrepareStateNetworkMessage (<- Plant.cs:1290 OnAtmosphericTick), PlantRecord.UpdateRecord (<- Plant.OnLifeTick :1322 <- PlantLifeTick GameManager.cs:831 RunSimulation); client gets only the synced PlantStatus byte (Plant.cs:576)"
Assets.Scripts.Objects.Pipes/HydroponicsTrayDevice.cs::CurrentLightExposure,server-only,n/a,none,same readers as HydroponicTray: Plant.cs:322 -> :1244/:1290 (OnAtmosphericTick) and PlantRecord via PlantLifeTick GameManager.cs:831 (RunSimulation)
Assets.Scripts.Objects.Pipes/IndustrialBurner.cs::HandleGasInput,server-only,n/a,none,only caller FurnaceBase.cs:450 OnAtmosphericTick; sole caller of Thing.OnAtmosphericTick is AtmosphericsManager.cs:95 <- ThingAtmosphereTick :433 <- GameManager.cs:787 (inside if (RunSimulation) :777)
Assets.Scripts.Objects.Pipes/IndustrialCombustor.cs::OnAtmosphericTick,server-only,n/a,none,sole caller of Thing.OnAtmosphericTick is AtmosphericsManager.cs:95 <- ThingAtmosphereTick :433 <- GameManager.cs:787 (inside if (RunSimulation) :777)
Assets.Scripts.Objects.Pipes/LiquidTap.cs::OnAtmosphericTick,server-only,n/a,none,sole caller of Thing.OnAtmosphericTick is AtmosphericsManager.cs:95 <- ThingAtmosphereTick :433 <- GameManager.cs:787 (inside if (RunSimulation) :777)
Assets.Scripts.Objects.Pipes/MultiGridAtmospherics.cs::VentWorldToInternal,server-only,n/a,none,only caller IndustrialFiltration.cs:223 in OnAtmosphericTick :214; sole caller of Thing.OnAtmosphericTick is AtmosphericsManager.cs:95 <- ThingAtmosphereTick :433 <- GameManager.cs:787 (inside if (RunSimulation) :777)
Assets.Scripts.Objects.Pipes/Pipe.cs::GetWorkingAtmosphere,server-only,n/a,none,only caller PassiveVent.cs:54 in OnAtmosphericTick :27; sole caller of Thing.OnAtmosphericTick is AtmosphericsManager.cs:95 <- ThingAtmosphereTick :433 <- GameManager.cs:787 (inside if (RunSimulation) :777)
Assets.Scripts.Objects.Pipes/Pipe.cs::OnAtmosphericTick,server-only,n/a,none,sole caller of Thing.OnAtmosphericTick is AtmosphericsManager.cs:95 <- ThingAtmosphereTick :433 <- GameManager.cs:787 (inside if (RunSimulation) :777)
Assets.Scripts.Objects.Pipes/PipeRadiator.cs::GetWorkingAtmosphere,unreachable,n/a,none,"no caller: only the IWorkingAtmosphere declaration; RocketNetwork.cs:709 calls CacheWorkingAtmosphere, not this; PipeRadiator.OnAtmosphericTick samples directly"
Assets.Scripts.Objects.Pipes/PipeRadiator.cs::OnAtmosphericTick,server-only,n/a,none,sole caller of Thing.OnAtmosphericTick is AtmosphericsManager.cs:95 <- ThingAtmosphereTick :433 <- GameManager.cs:787 (inside if (RunSimulation) :777)
Assets.Scripts.Objects.Pipes/PoweredVentMultiGrid.cs::ExchangeWithWorld,server-only,n/a,none,only caller PoweredVent.cs:120 in OnAtmosphericTick :107; sole caller of Thing.OnAtmosphericTick is AtmosphericsManager.cs:95 <- ThingAtmosphereTick :433 <- GameManager.cs:787 (inside if (RunSimulation) :777)
Assets.Scripts.Objects.Pipes/PoweredVentSingleGrid.cs::ExchangeWithWorld,server-only,n/a,none,only caller PoweredVent.cs:120 in OnAtmosphericTick :107; sole caller of Thing.OnAtmosphericTick is AtmosphericsManager.cs:95 <- ThingAtmosphereTick :433 <- GameManager.cs:787 (inside if (RunSimulation) :777)
Assets.Scripts.Objects.Pipes/RocketEngineBase.cs::BlockPlumeNeighbourAtmospheres,server-only,n/a,none,only caller RocketEngineBase.cs:447 OnPreAtmosphere <- AtmosphericsManager.cs:216 ThingPreAtmosphereAction <- ThingPreAtmosphere :740 <- GameManager.cs:772 (RunSimulation block :752)
Assets.Scripts.Objects.Pipes/RocketEngineBase.cs::Exhaust,server-only,n/a,none,only caller RocketEngineBase.cs:448 OnPreAtmosphere <- AtmosphericsManager.cs:216 <- ThingPreAtmosphere <- GameManager.cs:772 (RunSimulation block :752)
Assets.Scripts.Objects.Pipes/StateChangeDevice.cs::OnDestroy,server-only,n/a,none,"Unity OnDestroy runs everywhere, but its only atmosphere effect is AtmosphericEventInstance.CloneGlobalAddGasMix/Reset (StateChangeDevice.cs:166-167), which return unless RunSimulation (AtmosphericEventInstance.cs:261/245)"
Assets.Scripts.Objects.Pipes/Tank.cs::OnAtmosphericTick,server-only,n/a,none,sole caller of Thing.OnAtmosphericTick is AtmosphericsManager.cs:95 <- ThingAtmosphereTick :433 <- GameManager.cs:787 (inside if (RunSimulation) :777)
Assets.Scripts.Objects.Pipes/Tank.cs::OnDestroy,server-only,n/a,none,"Unity OnDestroy runs everywhere, but its only atmosphere effect is AtmosphericEventInstance.CloneGlobalAddGasMix/Reset (Tank.cs:81-82), which return unless RunSimulation (AtmosphericEventInstance.cs:261/245)"
Assets.Scripts.Objects.Pipes/WallVent.cs::OnAtmosphericTick,server-only,n/a,none,GameManager.cs:777 if(RunSimulation) -> AtmosphericsManager.ThingAtmosphereTick :431 -> ThingAtmosphereTickAction :95 (the only non-base caller of OnAtmosphericTick)
Assets.Scripts.Objects.Weapons/Grenade.cs::OnAtmosphericTick,server-only,n/a,none,GameManager.cs:777 if(RunSimulation) -> AtmosphericsManager.ThingAtmosphereTick :431 -> :95
Assets.Scripts.Objects/DynamicAirConditioner.cs::IsWithinOperatingRange,both,mixed,AC tooltip too-cold/too-hot error judged on shipped planet temperature when the AC's grid has no cell,DynamicAirConditioner.cs:208 GetPassiveTooltip (UI) and :244 IsOperable (client-reachable via PortableAtmosphericsPowered.cs:37/51 inventory events; returns at :253 before server actions); WorldAtmosphere from SampleGlobalAtmosphere (DynamicThing.cs:1266)
Assets.Scripts.Objects/DynamicAirConditioner.cs::OnAtmosphericTick,server-only,n/a,none,GameManager.cs:777 if(RunSimulation) -> ThingAtmosphereTick -> AtmosphericsManager.cs:95
Assets.Scripts.Objects/DynamicAirConditioner.cs::VentWaste,server-only,n/a,none,sole caller OnAtmosphericTick DynamicAirConditioner.cs:311 <- ThingAtmosphereTick (GameManager.cs:777 RunSimulation)
Assets.Scripts.Objects/DynamicComposter.cs::DoProcessing,server-only,n/a,none,"sole caller OnThreadUpdate :162, which returns at DynamicComposter.cs:151 if(!RunSimulation)"
Assets.Scripts.Objects/DynamicGasCanister.cs::OnAtmosphereClient,client,mixed,portable tank release hiss (PressureDelta) computed against shipped planet pressure where the tank's grid has no cell: can hiss while the host releases nothing,Atmosphere.Read :2595 <- AtmosphereHelper.ReadStatic :763 <- AtmosphericsManager.DeserialiseDeltaState :849 / DeserializeOnJoin :888; SampleGlobalAtmosphere DynamicGasCanister.cs:309; audio uses PressureDelta at :170
Assets.Scripts.Objects/DynamicGasCanister.cs::OnAtmosphericTick,server-only,n/a,none,GameManager.cs:777 if(RunSimulation) -> ThingAtmosphereTick -> AtmosphericsManager.cs:95
Assets.Scripts.Objects/DynamicGasCanister.cs::OnDamageDestroyed,both,none,none (burst gas release and explosion are host-only; client only swaps the mesh),gas branch under DynamicGasCanister.cs:522 if(RunSimulation && !_hasBlown); caller ThingDamageState.Destroy :92/:97 runs on clients
Assets.Scripts.Objects/DynamicGenerator.cs::OnAtmosphericTick,server-only,n/a,none,GameManager.cs:777 if(RunSimulation) -> ThingAtmosphereTick -> AtmosphericsManager.cs:95
Assets.Scripts.Objects/DynamicGenerator.cs::VentAllAtmosphereToWorld,both,mixed,none planet-visible: client-local move into its copy of a synced cell (host result arrives by cell sync) or dropped by its read-only planet copy; if WorldAtmosphere is null the CloneGlobalAtmosphere call throws on the client,"Unity OnDestroy DynamicGenerator.cs:194-199, guard only !IsQuitting, so it runs when the host destroys the thing; CloneGlobalAtmosphere throws on client AtmosphericsController.cs:291-294"
Assets.Scripts.Objects/DynamicScrubber.cs::GetFromAtmos,server-only,n/a,none,sole caller OnAtmosphericTick DynamicScrubber.cs:142 <- ThingAtmosphereTick (GameManager.cs:777 RunSimulation)
Assets.Scripts.Objects/DynamicScrubber.cs::GetFromCell,server-only,n/a,none,callers only GetFromAtmos :173/:176 (server-only)
Assets.Scripts.Objects/DynamicScrubber.cs::ReleaseToAtmos,server-only,n/a,none,sole caller OnAtmosphericTick DynamicScrubber.cs:138 <- ThingAtmosphereTick (GameManager.cs:777 RunSimulation)
Assets.Scripts.Objects/DynamicThing.cs::ApplyLiquidFlowForce,both,mixed,liquid flow push from WorldAtmosphere flow flags; on a client reached when a body sits under the client's own (shipped-tank) sea,sole caller DynamicThing.PhysicsUpdate :2108 <- GameManager.FixedUpdate :677 -> ThingPhysicalUpdateAction :145 (unguarded)
Assets.Scripts.Objects/DynamicThing.cs::HasAtmosphere,both,mixed,thing audio mixer group (in air vs vacuum) set from shipped planet where no cell exists; differs only if one planet is below 0.1 mol per cell,read at DynamicThing.cs:1269 in SetWorldAtmosphere <- OcclusionManager.cs:206/214 (runs on clients) -> OnAtmosphereGain/Lost -> Thing.SetSoundMixerGroup :2447-2462
Assets.Scripts.Objects/DynamicThing.cs::OnFireTick,server-only,n/a,none,sole caller AtmosphericsWorker.ThingFireTickTask :351 <- AtmosphericsManager.RunThingFireTickJobs :436 <- GameManager.cs:764 inside if(RunSimulation) :752
Assets.Scripts.Objects/DynamicThing.cs::OnThreadUpdate,both,mixed,"for bodies the client simulates, outdoor wind-push scale and angular drag use shipped planet pressure where no cell exists","OcclusionManager.cs:233/:246 (runs on clients); values applied in PhysicsUpdate DynamicThing.cs:2063 (angularDrag) and :2067 (atmospheric velocity, non-kinematic only)"
Assets.Scripts.Objects/DynamicThing.cs::PhysicsUpdate,both,mixed,"bodies the client simulates float or sink by the client's own sea (height from its shipped tank), not the host's sea",GameManager.FixedUpdate :677 -> :145 (unguarded); DynamicThing.cs:2086 GlobalAtmosphereLiquid.IsUnderGlobalLiquid; LiquidHeight from PAS.LiquidVolume/LiquidVolumeRatio (GlobalAtmosphereLiquid.cs:27-28) of the client's own tank; planet copy is gas-only so its LiquidVolumeRatio is 0
Assets.Scripts.Objects/Entity.cs::GetExteriorState,both,mixed,none (reads Mode and Room only; the planet copy and a synced outdoor cell both give World),PlayerStateWindow.cs:440 (HUD Update); Entity.cs:626-637
Assets.Scripts.Objects/Entity.cs::IsSoiled,both,mixed,"none (polluted-water ratio; the planet copy is gas-only on host and client alike, so it never reads soiled)",StatusUpdates.cs:1044/:1749 and MovementController.cs:565 (client UI and movement); copy built with MatterState.Gas GlobalGasMix.cs:156 -> GasMixtureHelper.cs:22/:38
Assets.Scripts.Objects/Entity.cs::LifeBreathe,server-only,n/a,none,sole caller Entity.OnLifeTick :1042 <- AtmosphericsManager.LifeTicksTick :749 <- GameManager.cs:789 under if(RunSimulation) :777
Assets.Scripts.Objects/Item.cs::OnDecayServer,server-only,n/a,none,sole caller GameManager.ItemDecayServerAction :171 <- GameManager.cs:793 under if(RunSimulation) :777
Assets.Scripts.Objects/Item.cs::Smelt,server-only,n/a,none,"planet part only enqueues CloneGlobalRemoveEnergy / CreateRemoveEnergy, both no-ops unless RunSimulation (AtmosphericEventInstance.cs:181, :269); callers are device ticks (FurnaceBase, ArcFurnace, etc.), not each traced"
Assets.Scripts.Objects/LanderCapsule.cs::OnAtmosphericTick,server-only,n/a,none,GameManager.cs:777 if(RunSimulation) -> ThingAtmosphereTick -> AtmosphericsManager.cs:95
