site,kind,mutates,guard,note
WRAPPER::Atmosphere.PrepareDataMixInWorld,none,no,"","Stores the read-only copy in _mixingAtmos, _lowerNeighbour, _flatNeighbours, _verticalNeighbours; consumed by MixLiquids (unguarded), GiveLiquids / EqualizeLiquidsToNeighbours (guarded by CanGiveLiquidTo), SpawnLiquidSolverParticles (guarded), Take/Give (switched)."
WRAPPER::Ore.CentrifugeProcessUnit,none,no,"","Hands the sample to the virtual Smelt(localAtmosphere, ...); every Smelt override is a consumer. Same for Ice.Recycle, GasCanister.Recycle, Ice.HandleIceMelting."
CONSTANT::Chemistry.GridVolume,none,no,"","8000 L outdoor cell; read-only copy volume; tank/cell scaling ratio in CloneGlobalGasMix, GetGlobalMoles, TakeGlobalGasMix."
CONSTANT::PlanetaryAtmosphereSimulation.SpaceHeight,none,no,"","1000 m; above it samples return the empty _readOnlySpace and clones are empty, but gives still credit the tank."
CONSTANT::PlanetaryAtmosphereSimulation.CLOUD_VOLUME,none,no,"","100000 L liquid and ice cloud buckets; absolute, does not scale with tank volume."
CONSTANT::PlanetaryAtmosphereSimulation.ICE_CAP_VOLUME,none,no,"","1e7 L; absolute."
CONSTANT::PlanetaryAtmosphereSimulation.MINMeltQuantity,none,no,"","1000 mol/tick floor; absolute."
CONSTANT::PlanetaryAtmosphereSimulation.MINLiquidFreezeQuantity,none,no,"","3000 mol/tick floor; absolute."
CONSTANT::PlanetaryAtmosphereSimulation.MELT_RATIO,none,no,"","1.3889e-5 per tick (a ratio, scales)."
CONSTANT::PlanetaryAtmosphereSimulation.FREEZE_RATIO,none,no,"","4.1667e-5 per tick (a ratio, scales)."
CONSTANT::AtmosphereHelper.GlobalAtmosphereNeighbourThreshold,none,no,"","100 (scaled by planet pressure ratio clamped 0.04..1 and NewAtmosSupressionMultiplier): decides sample-vs-clone of neighbours in PrepareDataMixInWorld, i.e. how far a plume spreads as real cells."
CONSTANT::AtmosphericsManager.WorldAtmospheresCount_20000,none,no,"","Literal 20000 in Atmosphere.PrepareDataMixInWorld (forces read-only neighbours) and AtmosphereHelper.LerpRate denominator."
CONSTANT::AtmosphereHelper.LerpRate,none,no,"","0.2..1 per tick relaxation of open cells toward planet air."
CONSTANT::Atmosphere.ReactWithCell_radiation,none,no,"","Literals RatioOneAtmosphereUnclamped x 10 and 0.1 x NewAtmosSupressionMultiplier in GetRadiatedHeat toward the planet; per cell, feeds ExternalInputEnergyOffset whose effect is divided by tank heat capacity (20x stronger at 0.05 volume)."
CONSTANT::Chemistry.MinimumGasVolume,none,no,"","x100 for World/Global in Atmosphere.GetMinimumGasVolume."
CONSTANT::VendingMachineRefrigerated.HeatTransferJoulesPerTick,none,no,"","1000 J/tick."
CONSTANT::WallCooler.HeatTransferJoulesPerTick,none,no,"","1000 J/tick."
CONSTANT::Dynamite.EnergyReleasedPerTick,none,no,"","100 J/tick."
